docsrc	docsrc_name	description	status_action	region	province	printtype	mediatype	date_from	date_to	timeliness
REISEAKT	REISE-aktuell	"internationales Reisemagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2007-01-01	2025-12-04	
REPPLUS	"Report Plus"	"Österreichisches Wirtschaftsmagazin"	added_in_amc5	agesamt	-	fachmedium	print	2004-02-06	2026-06-23	
RUPERTUS	Rupertusblatt	"Kirchenzeitung für Salzburg"	added_in_amc5	amitte	SB	zeitschrift	print	2013-06-20	2026-06-25	
SALZBAU	"Salzburger Bauer"	"Informationen der Landwirtschaftskammer Salzburg"	added_in_amc5	amitte	SB	zeitschrift	print	2013-11-07	2026-06-25	
SAT1VOLL	SAT1	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2008-03-17	2020-05-28	eingestellt
SBGBEZ	"Salzburger Bezirksblätter"	"Regionale Wochenzeitschrift für Salzburg"	added_in_amc5	amitte	SB	zeitung	print	2010-10-06	2026-06-24	
SBGW	"Salzburger Woche"	"Wochenzeitung für Salzburg"	im_amc	amitte	SB	zeitung	print	2007-11-22	2026-06-30	
SERVUS	"Servus in Stadt und Land"	"Lebensstil- und Heimatzeitschrift"	added_in_amc5	agesamt	-	zeitschrift	print	2017-02-28	2026-06-26	
SERVUSGU	"Servus Gute Küche"	"Das Magazin für Liebhaber der alpenländischen Küche"	added_in_amc5	agesamt	-	zeitschrift	print	2017-03-14	2025-09-25	
SERVUSKI	"Servus Kinder"	"Das Magazin für große und kleine Kinder"	added_in_amc5	agesamt	-	zeitschrift	print	2017-03-28	2026-06-26	eingestellt
SN	"Salzburger Nachrichten"	"Überregionale Österreichische Tageszeitung"	im_amc	amitte	SB	zeitung	print	1991-06-10	2026-06-30	
SOBLATT	"Sonntagsblatt für Steiermark"	"Kirchenzeitung für Steiermark"	added_in_amc5	asuedost	ST	zeitschrift	print	2013-06-20	2026-06-25	
SOLI	Solidarität	"Die Monatszeitschrift des ÖGB"	im_amc	agesamt	-	zeitschrift	print	2001-09-01	2025-02-01	eingestellt
SONNTAGH	Sonntag	"Kirchenzeitung für Wien"	added_in_amc5	asuedost	KT	zeitschrift	print	2013-06-20	2026-06-25	
SPORTZTG	Sportzeitung	"Die Zeitung des Sports"	im_amc	agesamt	-	zeitschrift	print	1996-03-04	2019-12-17	eingestellt
STANDARD	"Der Standard"	"Überregionale Österreichische Tageszeitung"	im_amc	agesamt	-	zeitung	print	1990-09-25	2026-06-30	
STEIRIN	Steirerin	"Das Gesellschaftsmagazin für die Steiermark"	added_in_amc5	asuedost	ST	zeitschrift	print	2017-02-03	2026-05-29	
STEIWIRH	"Steirische Wirtschaft"	"Die Zeitung der Wirtschaftskammer Steiermark"	added_in_amc5	asuedost	ST	zeitschrift	print	2015-05-04	2026-06-19	
STMONAT	"Steirer Monat"	"Steirisches Monatsmagzin (eingestellt)"	im_amc	asuedost	ST	zeitschrift	print	2005-02-03	2012-07-15	eingestellt
STYLEUP	"Style up Your Life"	"Österreichisches Fashionmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2019-04-19	2025-11-19	
SVZ	"Salzburger Volkszeitung"	"Tageszeitung für Salzburg (eingestellt)"	im_amc	amitte	SB	zeitung	print	2007-06-25	2014-08-14	eingestellt
